arm,seeds,best_jer_cal,best_jer_cal_hr,final_jer_cal,final_jer_cal_hr,hours_trained,hours_trained_hr,best_hours,best_hours_hr,h_T_useful,h_T_useful_hr,h_T_useful_reached,h_T_acc,h_T_acc_hr,h_T_acc_reached,h_T_match,h_T_match_hr,h_T_match_reached,h_T_acc_interp,h_T_acc_interp_hr,h_T_acc_interp_reached,jewel_jer_cal,jewel_jer_cal_hr,best_l1_sig,best_l1_sig_hr,best_mse_sig,best_mse_sig_hr,best_jes,best_jes_hr,ms_per_event,ms_per_event_hr,train_steps_per_s,train_steps_per_s_hr,train_samples_per_s,train_samples_per_s_hr,train_peak_mem_gb,train_peak_mem_gb_hr,train_n_params,train_n_params_hr,train_coupling_frac,train_coupling_frac_hr
condcfm (mean of 16),3,3.601188810652977,0.0031423293416279474,3.601188810652977,0.0031423293416279474,2.8337974836780795,0.2500398578267131,2.8337974836780795,0.2500398578267131,1.0006910963149533,,1/3,1.0006910963149533,,1/3,1.5007898158797373,,1/3,2.1671850560329577,0.9998621559360376,3/3,4.264740158043156,0.016901304130910955,0.03598730032179083,5.262705485024888e-05,,,0.9344926806290442,0.00240946865505981,65.04871582984924,0.0,2.5486491897101398,0.004640800756967822,652.4541925657958,1.1880449937837625,41.37567853927612,0.0,21559490.0,0.0,0.0,0.0
condcfm (mean of 4),3,3.8996706299049175,0.00545925203380726,3.9000900700389494,0.0049483708893760525,3.0005001472488595,7.062306110250383e-05,2.7503950566474216,0.2499833722950684,1.0004685313247696,0.00030579941347241846,3/3,,,0/3,,,0/3,,,0/3,4.508507648501033,0.020035805622669933,0.03735801275041364,6.441987355549836e-05,0.02269823557535805,2.1181360880549727e-05,0.9343491192456099,0.0024973527893061287,16.26217895746231,0.0,2.5486491897101398,0.004640800756967822,652.4541925657958,1.1880449937837625,41.37567853927612,0.0,21559490.0,0.0,0.0,0.0
otcfm (m - b),3,3.675576239312745,0.007969671057296734,3.675576239312745,0.007969671057296734,2.3338487823838716,0.4997987485397608,2.3338487823838716,0.4997987485397608,0.44522389219280467,0.08327601287255273,3/3,1.0840273245865548,0.24993436567640553,3/3,,,0/3,0.8724918943068664,0.26157161418530145,3/3,3.552537759294148,0.007862316364541044,0.15108041670057507,0.0016757678985595964,0.06795364320543074,0.0008866064071655494,0.929878338392773,0.0018412799233140098,2.0190250128507614,0.0,2.4682110621509743,0.014368282049061376,631.8620319106494,3.6782802045597123,43.507415771484375,0.0,21558626.0,0.0,0.021275123982375285,0.000345347656300005
otcfm1 (m - b),3,3.692275642618968,0.0056207137479740155,3.7115583801143317,0.01122179644435306,2.000514471584724,0.00036971074425506956,0.5839473525786566,0.24977253982693787,0.25069769795363145,0.00022338334470989318,3/3,0.7504647917010718,,1/3,,,0/3,0.47849114168857115,0.21280489773324468,3/3,3.5905851299163634,0.01608318746935633,0.15510742806328662,0.0018481108347574438,0.07109637307061084,0.0017007345835368046,0.942879819403084,0.0010649020976952195,2.0201825201511383,0.0,2.530367896483043,0.006159785516792304,647.774181499659,1.57690509229883,35.637465476989746,0.0,21556897.0,0.0,0.019873475515261512,0.000831774381755572
otcfm1 log(E+1) (m - b),1,3.7847423755504814,,3.807802163543654,,2.0003333619650867,,0.7504520198019843,,0.25061783607014354,,1/1,,,0/1,,,0/1,,,0/1,3.5674338677676145,,0.1442100194295247,,0.0575496883392334,,0.876679186990598,,2.0201825201511383,,2.514858598675593,,643.8038012609518,,35.637465476989746,,21556897.0,,0.017484894247695268,
otcfm_pieces,3,5.150816514828008,0.09229946185746352,5.741009212009492,0.7406410332390392,2.0008353127753016,0.00031061597478898584,1.750521601859342,0.2502341518106146,,,0/3,,,0/3,,,0/3,,,0/3,5.2442645289943615,0.33641009678295264,0.03278948510487866,0.00014637559254965238,0.03143581581115717,0.0004941899299621497,0.9148439661125801,0.024167179240801084,8.07461117208004,0.0,2.5711495237617092,0.012893939448401781,658.2142780829976,3.300848498790856,41.374056339263916,0.0,21558626.0,0.0,0.005636889559309063,0.0002549714960129166
regress,3,4.229427811369438,0.09473120056706241,4.23005805924161,0.09378582875880381,0.5006132846298041,0.37542451224393314,0.4727575949013785,0.3336409776512947,,,0/3,,,0/3,,,0/3,,,0/3,4.167393318132809,,0.031816240798102434,8.023487726849937e-05,0.0213097916603088,,0.8041373746729977,0.0027113790509306623,0.504308745265007,0.0,,,,,,,,,,
regress_l1,3,3.80327085766802,0.01040255447221572,3.8065756777981434,0.011420958236055823,1.0003437229639125,0.0003509150197109623,0.9170770700641527,0.12457860892742051,0.2506127227470279,0.00026861960378785077,3/3,,,0/3,,,0/3,,,0/3,4.314924478439081,0.030315132264413958,0.0264548630608452,2.0436954498300255e-05,0.020989543925391232,3.6333465576150054e-05,0.8626068007535116,0.0005822362808514114,0.50495745241642,0.0,2.5630051006348995,0.010281811334542645,656.1293057625343,2.632143701642917,41.36794424057007,0.0,21557762.0,0.0,0.0,0.0
sbcfm (m - b),1,6.689869449182502,,6.689869449182502,,0.3340655326615605,,0.3340655326615605,,,,0/1,,,0/1,,,0/1,,,0/1,,,0.0602269313812255,,,,0.4771812402978169,,,,2.286643829439236,,585.3808203364445,,43.18680143356323,,21558626.0,,0.10811550244006866,
uvcgan-s batch 32,3,3.617338792287893,0.028314808890306464,3.6258014309020687,0.041008766811570396,24.69016980940062,0.6864174866024406,24.120912250512863,0.5691710765432152,6.207516417132897,0.7817367100788077,3/3,10.736732561349593,3.4185191983595073,3/3,13.636323928999612,1.8246082428521992,2/3,10.071699038674893,3.08141424078375,3/3,4.089058931947455,0.07482637898105926,0.0331315003501044,0.0012711849530537972,0.0236012735154893,0.0008291553179423008,0.9408033483063317,0.0027048923432347882,0.27366878092288965,0.0,,,,,,,,,,
uvcgan-s batch 4,3,3.639247604863056,0.019887086832448553,3.6522523478337057,0.020215771663891102,24.428846942371933,0.36115698625851067,21.10911452444339,2.237085753005619,5.6007305512377235,0.2508727027610358,3/3,15.987927502784189,0.9893586213120971,3/3,17.699097394077107,0.20036181047455415,2/3,14.947955393208694,0.7538378129594783,3/3,3.976823835897284,0.0643184660583127,0.03237042166392003,0.0007620681126912499,0.02370157267252603,0.0007708680788675992,0.9404530774017781,0.0004855908188677871,0.27366878092288965,0.0,,,,,,,,,,
