family,arm,seed,run,net,step,hours,jer_cal,l1_sig,l1_bkg,jes,bias
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,750,0.08438479372507168,4.144487475436207,0.2595818878173828,0.2595818883260091,1.0180234604264533,0.5355784698136651
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,1500,0.16735221640310355,4.107476288515236,0.2195003590901692,0.2195003580729166,1.0145560407379628,0.4418514812975296
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,2250,0.250388162696941,4.039161740118876,0.1926023366292317,0.1926023366292317,0.9709462728626728,-0.9775023831974315
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,3010,0.33437728718026644,3.963914174375797,0.1814548467000325,0.1814548467000325,0.9542130057097882,-1.5220531862228683
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,4460,0.5002349452622649,3.778532672964411,0.1661469937642415,0.1661469937642415,0.9408996121010206,-1.9634496640240289
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,6670,0.7504295541356423,3.7147010544625294,0.1542113711039225,0.1542113708496093,0.931454293154482,-2.275548945184364
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,8870,1.0005881052071022,3.7088686730063634,0.152161434173584,0.152161434173584,0.933799790173533,-2.1941120057513213
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,11070,1.2506645654121207,3.698240076349743,0.1505645421346028,0.150564542388916,0.9322081280930063,-2.246815968750412
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,13270,1.5005146885642575,3.687294567460183,0.1493048263549804,0.1493048263549804,0.9288488903175164,-2.3549332190043786
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,15470,1.7501119803575178,3.6782384889702064,0.1506187845865885,0.1506187845865885,0.9298319939335112,-2.325687692913168
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,17680,2.0005694702122776,3.677919156370207,0.1488097935994466,0.1488097935994466,0.9286484620677232,-2.366644271028149
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,19880,2.250104048796412,3.682439952417345,0.1507502744038899,0.1507502741495768,0.9314962705219856,-2.2770030819531137
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,22070,2.500009621636321,3.6701563311804137,0.1494532534281412,0.1494532534281412,0.9293255551425368,-2.348175693735296
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,24270,2.7506108992557143,3.667669290347343,0.1489672691345215,0.1489672696431478,0.927110288728805,-2.421715780017232
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,26470,3.000159271819931,3.665353981415682,0.1496032229105631,0.1496032231648763,0.9284451916859268,-2.3772600577285603
flow,otcfm (m - b),0,pilot_otcfm_s0,raw,26470,3.000159271819931,3.736464605587096,0.1508185348510742,0.1508185348510742,0.9400581716141484,-2.008621057970958
flow,otcfm (m - b),1,ext_otcfm_s1,ema,2260,0.25001106618696617,4.029047181187034,0.2021236267089843,0.2021236272176106,1.0026871520768428,0.0463986059997144
flow,otcfm (m - b),1,ext_otcfm_s1,ema,4540,0.5009293129253719,3.756109138831644,0.1654193784077962,0.1654193784077962,0.956466690607561,-1.4629812792407353
flow,otcfm (m - b),1,ext_otcfm_s1,ema,6810,0.7510866516011043,3.693125803822363,0.1547757410685221,0.1547757410685221,0.9387716075305552,-2.040172270366124
flow,otcfm (m - b),1,ext_otcfm_s1,ema,9070,1.0002993014858415,3.702936207043597,0.1527596944173177,0.1527596944173177,0.9343404132518448,-2.180811521740871
flow,otcfm (m - b),1,ext_otcfm_s1,ema,11260,1.250621574288234,3.6971124149656656,0.1501126495361328,0.1501126495361328,0.9292681696319048,-2.3429876357850428
flow,otcfm (m - b),1,ext_otcfm_s1,ema,13460,1.5006841946755431,3.692241671739692,0.1494025334676106,0.1494025337219238,0.9276301532811624,-2.393373553775461
flow,otcfm (m - b),1,ext_otcfm_s1,ema,15660,1.7508245878169935,3.685919893185368,0.1498365483601888,0.1498365481058756,0.9293487619659948,-2.337195738027066
flow,otcfm (m - b),1,ext_otcfm_s1,ema,17860,2.0008253005912735,3.681176254309083,0.150757054901123,0.150757054901123,0.9292174319919606,-2.34280614961092
flow,otcfm (m - b),1,ext_otcfm_s1,raw,17860,2.0008253005912735,3.7492319532601575,0.1486414357503255,0.1486414357503255,0.8804057488472886,-3.938704327131103
flow,otcfm (m - b),2,ext_otcfm_s2,ema,2240,0.25073571287509466,4.05593373326864,0.2081887430826823,0.2081887430826823,1.0036837650597603,0.080031830423738
flow,otcfm (m - b),2,ext_otcfm_s2,ema,4480,0.5003650764727758,3.732408972686285,0.1682636891682942,0.1682636891682942,0.9538532794543316,-1.5378157844321647
flow,otcfm (m - b),2,ext_otcfm_s2,ema,6730,0.7507958340593096,3.688516082167282,0.1547527910868326,0.154752791595459,0.9386561048214146,-2.039706967192574
flow,otcfm (m - b),2,ext_otcfm_s2,ema,8970,1.00012841554876,3.6866637958002735,0.1520237757364909,0.1520237757364909,0.9341793624247212,-2.185004671845084
flow,otcfm (m - b),2,ext_otcfm_s2,ema,11180,1.2509667824601962,3.7019885934844674,0.1540690236409505,0.1540690236409505,0.9352810719946428,-2.1595971771880005
flow,otcfm (m - b),2,ext_otcfm_s2,ema,13390,1.5003067127925658,3.694522223256468,0.1543081085205078,0.1543081085205078,0.9329706667827912,-2.237040792192732
flow,otcfm (m - b),2,ext_otcfm_s2,ema,15610,1.7509004121760114,3.692395984828365,0.1545917020161946,0.1545917020161946,0.9322548741777796,-2.2601757743804134
flow,otcfm (m - b),2,ext_otcfm_s2,ema,17820,2.0005617747404094,3.680315551434663,0.1529178654988607,0.1529178657531738,0.9320500715164932,-2.265087484076607
flow,otcfm (m - b),2,ext_otcfm_s2,raw,17820,2.0005617747404094,3.781465590899229,0.158328884379069,0.1583288841247558,0.9366281633224528,-2.16432348274611
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,2290,0.25010292417680224,4.277245426065099,0.0386294752120971,0.0424526782989502,0.9403208336606472,-2.024752649338348
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,4590,0.5002392571491914,4.071609341617266,0.0382621875762939,0.0407803407669067,0.9387030599992676,-2.0724984325741214
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,6890,0.7504213944336192,4.0037464320996055,0.0378765673319498,0.0398022501627604,0.9368758194489212,-2.136329755966836
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,9190,1.0006910963149533,3.973068376992323,0.037728632736206,0.0392239800771077,0.937657249898438,-2.11118214789036
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,11490,1.2508689510822295,3.9522992777217247,0.0376702860514322,0.0389134625116984,0.9387884480267716,-2.0746129242483096
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,13790,1.5007898158797373,3.935738373841101,0.0375870467503865,0.0386286771138509,0.9400242822180728,-2.034636087094673
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,16090,1.750620721038431,3.9207122559063214,0.0375499930063883,0.0384922623952229,0.9397785760427004,-2.044366654424436
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,18390,2.0007040020326774,3.916942550027257,0.0375032457351684,0.0383484212875366,0.9383353882589304,-2.092164290697487
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,20690,2.2509631655603233,3.905825227426997,0.037466475868225,0.0382546184539794,0.9378520845279328,-2.108987273491444
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,22980,2.500151104038167,3.9012418168969374,0.0374308513005574,0.0381500397364298,0.9369535858084836,-2.137264854184117
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,25280,2.7503210981583437,3.8936583117041774,0.0374037221272786,0.0380785776138305,0.9366492126987914,-2.1477344103786966
flow,condcfm (mean of 4),0,ext_condcfm_s0,ema,27580,3.000528379250318,3.88809168769951,0.0373646685282389,0.038029752031962,0.9362118557987088,-2.164375024760086
flow,condcfm (mean of 16),0,ext_condcfm_s0 x16,ema,9190,1.0006910963149533,3.6640643967880937,0.036313517888387,0.0369565620422363,0.9381923305307892,-2.098497079886864
