truth,model,readout,name,n_jets,jes,raw_bias,raw_rmse,jer_cal,cal_bias,cal_res,cal_rmse,emd_mean,emd_median,emd_shape_mean
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,8827,0.9423946738243103,-1.9211792945861816,3.9481592178344727,3.7106058597564697,-0.11920872330665588,3.660092830657959,3.6620335578918457,5.148591264188333,4.813993150724237,3.1720788408280924
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",8827,0.7885143756866455,-6.746936798095703,7.570067882537842,3.6292293071746826,-0.102477066218853,3.588900089263916,3.590362787246704,5.618411598357569,5.319249868262693,2.693379511588647
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,8436,0.9900031089782715,-0.4868049919605255,3.435044050216675,3.5771431922912598,1.0050140619277954,3.5844154357910156,3.7226450443267822,4.738101851552571,4.41133515956467,3.1149483663729445
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",8436,0.7876898050308228,-5.247281074523926,6.219532489776611,3.498636245727539,1.1805362701416016,3.4609837532043457,3.656784772872925,4.745065724754559,4.444439561267261,2.442982100085238
val,OT-CFM-unet-s1,image,OT-CFM-unet-s1,8827,0.9415085911750793,-1.9573396444320679,3.959582567214966,3.7212774753570557,-0.11407311260700226,3.671487808227539,3.6732594966888428,5.154646703766056,4.823176448538729,3.180404814886779
val,OT-CFM-unet-s1,thr0.5,"OT-CFM-unet-s1, thr0.5",8827,0.7908622026443481,-6.683958053588867,7.506770610809326,3.6384434700012207,-0.094338558614254,3.594665050506592,3.595902919769287,5.590768154768169,5.275439724749615,2.701845847137125
jewel,OT-CFM-unet-s1,image,OT-CFM-unet-s1,8436,0.9894393086433411,-0.5175038576126099,3.4575576782226562,3.608386993408203,0.9832118153572083,3.617342948913574,3.7485833168029785,4.751112442884088,4.421407137602763,3.1206983066115264
jewel,OT-CFM-unet-s1,thr0.5,"OT-CFM-unet-s1, thr0.5",8436,0.7914983034133911,-5.176184177398682,6.169788360595703,3.53149676322937,1.1609148979187012,3.4964969158172607,3.6841843128204346,4.7296057108090634,4.423228028007062,2.4502868208569986
val,OT-CFM-unet-s2,image,OT-CFM-unet-s2,8827,0.9402459263801575,-1.9971836805343628,3.9754769802093506,3.717484951019287,-0.12054210156202316,3.668860673904419,3.670840263366699,5.1647710673001255,4.830071781622132,3.168560781851473
val,OT-CFM-unet-s2,thr0.5,"OT-CFM-unet-s2, thr0.5",8827,0.786305844783783,-6.822981834411621,7.634606838226318,3.6379737854003906,-0.09309842437505722,3.5983211994171143,3.5995254516601562,5.660564334620297,5.344991789998646,2.691241887263399
jewel,OT-CFM-unet-s2,image,OT-CFM-unet-s2,8436,0.9871804714202881,-0.5609316825866699,3.4459950923919678,3.582228422164917,0.9691959619522095,3.6072561740875244,3.735189199447632,4.741432727076432,4.420008857966595,3.1090049438691594
jewel,OT-CFM-unet-s2,thr0.5,"OT-CFM-unet-s2, thr0.5",8436,0.7844083309173584,-5.329318046569824,6.287313938140869,3.499542474746704,1.15700101852417,3.4737868309020996,3.6613996028900146,4.779736326822438,4.460762327001381,2.4372109322205717
val,OT-CFM-uvcgan-s0,image,OT-CFM-uvcgan-s0,8827,0.9202960133552551,-2.6426992416381836,4.293606281280518,3.6927480697631836,-0.10991203039884567,3.6495883464813232,3.651243209838867,5.361716188319904,5.0117961464647784,3.123710014820374
val,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",8827,0.7679376006126404,-7.420705318450928,8.153836250305176,3.629967451095581,-0.08941557258367538,3.5945487022399902,3.59566068649292,6.0098843740125645,5.724771397021905,2.6802661109718824
jewel,OT-CFM-uvcgan-s0,image,OT-CFM-uvcgan-s0,8436,0.9641247391700745,-1.1369338035583496,3.536761522293091,3.544245719909668,0.9854636192321777,3.578629732131958,3.711836338043213,4.773877211451132,4.4673376763537815,3.0641694363529743
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",8436,0.7642519474029541,-5.843822002410889,6.710790634155273,3.480492353439331,1.175648808479309,3.4641470909118652,3.658205032348633,5.008469628836908,4.6933993641020475,2.4131421217476667
val,UVCGAN-S,image,UVCGAN-S,8827,0.9387789368629456,-2.006113052368164,3.9573922157287598,3.621164083480835,-0.08352592587471008,3.5697193145751953,3.5706963539123535,4.752421237900864,4.401832749029694,3.1153931246705002
