model,nfe,solver,samples,n_params,ms_per_batch,ms_per_event,batch,gpu
uvcgan-s published (ema_gen_ba),1,none,1,32085524,137.04966008663177,0.27409932017326355,500,NVIDIA RTX A6000
ext_regress_s0 (regress),1,none,1,21557762,252.1543726325035,0.504308745265007,500,NVIDIA RTX A6000
ext_regress_l1_s0 (regress_l1),1,none,1,21557762,252.47872620821,0.50495745241642,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),1,euler,1,21558626,252.352274954319,0.504704549908638,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),4,euler,1,21558626,1009.5125064253807,2.0190250128507614,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),4,midpoint,1,21558626,1010.87886095047,2.02175772190094,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),8,euler,1,21558626,2023.9765867590904,4.047953173518181,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),8,midpoint,1,21558626,2025.8591175079346,4.051718235015869,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),16,euler,1,21558626,4054.092586040497,8.108185172080994,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),16,midpoint,1,21558626,4056.207038462162,8.112414076924324,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),32,euler,1,21558626,8115.071505308151,16.230143010616302,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),32,midpoint,1,21558626,8118.789583444595,16.23757916688919,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),64,euler,1,21558626,16257.914543151855,32.51582908630371,500,NVIDIA RTX A6000
pilot_otcfm_s0 (otcfm),64,midpoint,1,21558626,16258.694775402546,32.51738955080509,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),1,euler,1,21559490,254.3146312236786,0.5086292624473572,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),4,euler,1,21559490,1016.3629874587059,2.032725974917412,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),4,midpoint,1,21559490,1016.5883749723434,2.033176749944687,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),8,euler,1,21559490,2032.551422715187,4.065102845430374,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),8,midpoint,1,21559490,2032.7723696827888,4.065544739365578,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),16,euler,1,21559490,4064.8028180003166,8.129605636000633,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),16,midpoint,1,21559490,4066.1871507763863,8.132374301552773,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),32,euler,1,21559490,8132.313899695873,16.264627799391747,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),32,midpoint,1,21559490,8133.2051903009415,16.266410380601883,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),64,euler,1,21559490,16265.392810106277,32.530785620212555,500,NVIDIA RTX A6000
ext_condcfm_s0 (condcfm),64,midpoint,1,21559490,16267.270892858505,32.53454178571701,500,NVIDIA RTX A6000
