model,readout,l1_sig,l1_in,l1_out,abs_err_out_gev,mse_sig,mse_in,mse_out,n_jets,jes,bias,jer,jer_iqr,jer_cal,jet_in_region,step,truth
empty image,-,0.04914237785339355,0.6340424513482055,0.02853140840030706,42.33251142578125,,,,,,,,,,,,val
uvcgan-s published,-,0.03339773476918539,0.20874398330130864,0.027218805726840004,40.384981640625,0.024226086870829264,0.1572009989644418,0.019540257550694586,17542.0,0.9397037421466738,-1.9665305052607107,3.400054166960433,3.1925937350013682,3.588097825485073,,,val
uvcgan-s published,coarse_thr0.5,0.031028712018330892,0.21824981193403892,0.024431331908566205,36.24916171875,0.025095452562967937,0.17561071716278068,0.0197915289476444,17542.0,0.861271532133657,-4.419481753650596,3.4637173841129028,3.2822854259086593,3.6044837682954194,,,val
uvcgan-s published,coarse_thr0.7,0.03031635545094808,0.22268320201813635,0.023537646819272003,34.92318671875,0.025389268112182617,0.18672834969817997,0.019703929441004013,17542.0,0.8271116492053984,-5.487357335601127,3.534798404772625,3.394841971089877,3.653738958515625,,,val
uvcgan-s published,seeded8_zero_thr0.5,0.029390971501668296,0.218292135553988,0.02273438857707891,33.7313794921875,0.02370323321024577,0.175834586222311,0.018342360526957095,17542.0,0.8611438342652783,-4.421519465789516,3.4697184115682713,3.2822854259086593,3.6081731534068493,0.9988598791471897,,val
uvcgan-s published,seeded10_zero_thr0.7,0.029027447001139323,0.22276949526479017,0.022200278910164607,32.938912353515626,0.024133165677388508,0.18718710742388664,0.018387398247520677,17542.0,0.8268252078620839,-5.492466608348016,3.549727460393887,3.394841971089877,3.6633325933207708,0.9982898187207844,,val
regress_l1,-,0.02644297949473063,0.2038823793065103,0.020190291138339533,29.95666103515625,0.020963084665934245,0.17478297562025008,0.015542711172909488,17542.0,0.8618370096501557,-4.500424881017326,3.425609188495848,3.189931364745189,3.7920266693259626,,,val
regress_l1,coarse_thr0.5,0.0272363224029541,0.21875771451847104,0.02048740643604995,30.39749580078125,0.02246364116668701,0.19615508362046788,0.01634302478574027,17542.0,0.7925339701543569,-6.658474317149879,3.5952914292781473,3.4134499314451676,3.9231137076049962,,,val
regress_l1,coarse_thr0.7,0.02757592658996582,0.2245754649260718,0.02063396915338852,30.614953271484374,0.02317461992899577,0.20685841882370226,0.01670188847774008,17542.0,0.7702184894085684,-7.3515439037857515,3.679321562816797,3.510578019783354,3.9903766709904525,,,val
regress_l1,seeded8_zero_thr0.5,0.027286570676167805,0.21885166438151432,0.020536114404099044,30.469764599609373,0.022819676780700685,0.19654167480657866,0.016697984080272867,17542.0,0.7922567960852821,-6.663473024565088,3.6095365881689667,3.414234291455585,3.934033352325549,0.997377722038536,,val
regress_l1,seeded10_zero_thr0.7,0.027707514890034993,0.22478433174303586,0.020762834212868984,30.80615244140625,0.02393069756825765,0.20788271692047353,0.017448514313515257,17542.0,0.7696331183358835,-7.362402365778778,3.7066113831419814,3.5139438043796547,4.009236238140309,0.9963516132710067,,val
ext_otcfm1_s0,coarse,0.15428387603759766,0.2739416417508406,0.15006732314499643,222.6573109375,0.07038831481933594,0.20598313406873608,0.0656101652049484,17542.0,0.9439103599410359,-1.8657088616516528,3.443602592437466,3.3305668671808037,3.684915859857175,,6850.0,val
ext_otcfm1_s0,coarse_thr0.5,0.0648418716430664,0.2527191970899893,0.05822136774190265,86.38398359375,0.05378564618428548,0.21960023836904824,0.04794259846614698,17542.0,0.7897710900597463,-6.698330922105567,3.4311432149130208,3.3434649765093827,3.610577177480948,,6850.0,val
ext_otcfm1_s0,coarse_thr0.7,0.049988054656982424,0.2550120849675916,0.042763326650388116,63.44863837890625,0.04627081247965495,0.23312396295504012,0.03968639843474694,17542.0,0.727215720686509,-8.662459935583094,3.463448940154719,3.3449778475524585,3.625673057736126,,6850.0,val
ext_otcfm1_s0,seeded8_zero_thr0.5,0.05314123560587565,0.25272229858697404,0.046108308777802615,68.4116423828125,0.0445109001159668,0.21961295814891332,0.03834057601646885,17542.0,0.7897505787591194,-6.698558665860435,3.43128432813742,3.3434649765093827,3.6103591066657628,0.9999429939573595,6850.0,val
ext_otcfm1_s0,seeded10_zero_thr0.7,0.03843730144500732,0.25502023702034066,0.030805255623481284,45.7062552734375,0.034255564053853355,0.23315133382936365,0.02724678669901753,17542.0,0.7271947176353357,-8.66269286795253,3.463480190350152,3.3453094066735813,3.625319548243495,0.9998859879147189,6850.0,val
pilot_otcfm_s0,coarse,0.14960322291056316,0.273586604397498,0.14523424163290938,215.48638984375,0.06731291732788086,0.20971602710418108,0.06229485302305802,17542.0,0.9284451916859268,-2.3772600577285603,3.377834268351041,3.2658527478896042,3.665353981415682,,26470.0,val
pilot_otcfm_s0,coarse_thr0.5,0.06215982437133789,0.254195070252633,0.05539280134230021,82.1871939453125,0.05142965227762858,0.2248624519240884,0.045318149375935216,17542.0,0.7719536696031201,-7.2827401675216805,3.3756731083412066,3.297592994458062,3.604243490990757,,26470.0,val
pilot_otcfm_s0,coarse_thr0.7,0.048362216567993166,0.25754895867551597,0.04099080088954346,60.81871328125,0.04458531214396159,0.23976089146747157,0.03770762836779798,17542.0,0.7110455399004079,-9.194010197185298,3.428336115508418,3.3220371729891065,3.64082067015482,,26470.0,val
pilot_otcfm_s0,seeded8_zero_thr0.5,0.05066714973449707,0.25419818575818587,0.04349503287056877,64.53428271484376,0.04231563269297282,0.22487528050383268,0.03588251426525805,17542.0,0.7719331366667826,-7.282967937779581,3.375774219578574,3.297592994458062,3.60400890564217,0.9999429939573595,26470.0,val
pilot_otcfm_s0,seeded10_zero_thr0.7,0.03732957134246826,0.25755557632310216,0.02956914900857637,43.87222392578125,0.033090792338053385,0.2397845313931489,0.025807226424550612,17542.0,0.7110244924716862,-9.194243395944207,3.428328832782642,3.321995816467602,3.6404446269355146,0.9998289818720785,26470.0,val
empty image,-,0.032462771542867024,0.4894062875658793,0.016361016174251425,24.275115380859376,,,,,,,,,,,,jewel
uvcgan-s published,-,0.02814844468434652,0.1840464835654807,0.022654916105939452,33.61348076171875,0.022775477568308514,0.14583127093319023,0.018439242925419024,16720.0,0.9469018667335689,-1.182549004292374,3.9381454436125547,3.477106808378928,3.991936686496696,,,jewel
uvcgan-s published,coarse_thr0.5,0.024365184593200685,0.18813295433958527,0.018594342878663135,27.58873984375,0.022766892464955647,0.1600055433393395,0.017930882986640105,16720.0,0.8524485034142163,-3.4235369488383025,3.816425068181987,3.4812283215476816,3.8702032810179547,,,jewel
uvcgan-s published,coarse_thr0.7,0.02318350454966227,0.1900122027655839,0.017304802266675325,25.675426708984375,0.022502395184834798,0.16763170260683294,0.017388335356647987,16720.0,0.8132040431567741,-4.3616730877942445,3.7642476998271532,3.5111683222697874,3.820975282497124,,,jewel
uvcgan-s published,seeded8_zero_thr0.5,0.021936635812123618,0.18943170561255157,0.016034451676418246,23.7905861328125,0.02040942138036092,0.16784416826782386,0.015214122000381592,16720.0,0.8479084356072631,-3.4843794519251046,3.9507090653030734,3.4857397171371156,3.973804292818595,0.9599282296650717,,jewel
uvcgan-s published,seeded10_zero_thr0.7,0.021055882676442463,0.19198525055096624,0.015032680795446247,22.304241796875,0.020006051794687906,0.17889482016284167,0.014407136332986984,16720.0,0.8054601353847881,-4.466128847701698,3.9561941663187854,3.541735740305319,3.9597046571267978,0.95,,jewel
regress_l1,-,0.019096782239278156,0.1766315847390304,0.013545577784570637,20.097802001953124,0.016354017702738442,0.15926152758465204,0.011318248821705982,16720.0,0.8678484229362213,-3.139432557661568,4.11386191426729,3.566663472010879,4.3107057366374315,,,jewel
regress_l1,coarse_thr0.5,0.01908931407928467,0.18468822139488297,0.013253946900787118,19.665104345703124,0.017151831245422362,0.17355142312371433,0.011640629540170939,16720.0,0.7858964089592534,-5.094860304656782,3.924022253231198,3.6371586674491594,4.103572678943734,,,jewel
regress_l1,coarse_thr0.7,0.01917865842183431,0.187980849605107,0.013230413933721586,19.6301880859375,0.017498896217346193,0.1804039044972245,0.011758456503304733,16720.0,0.7596768659191772,-5.719138964055258,3.8813499030654923,3.681850928213969,4.053703356649825,,,jewel
