model,readout,l1_sig,l1_in,l1_out,abs_err_out_gev,n_jets,jes,bias,jer,jer_iqr,jer_cal,step,jet_in_region,truth
empty image,-,0.04914237785339355,0.6340424513482055,0.02853140840030706,42.33251142578125,,,,,,,,,val
uvcgan-s published,-,0.03339830703735352,0.20874051524679108,0.02721952078106382,40.386042578125,17542.0,0.9397164214894486,-1.966065338570992,3.4000822351024858,3.1908245949147807,3.587960247440479,,,val
regress_l1,-,0.026443557739257814,0.20389623704906007,0.02019040102263875,29.956824072265626,17542.0,0.8616828439063151,-4.505509850536047,3.4251625767186584,3.188862457727838,3.791959242291024,,,val
pilot_otcfm_s0,coarse,0.14960322291056316,0.273586604397498,0.14523424163290938,215.48638984375,17542.0,0.9284451916859268,-2.3772600577285603,3.377834268351041,3.2658527478896042,3.665353981415682,26470.0,,val
pilot_otcfm_s0,converged,0.050545695622762045,0.3122441932729347,0.04132384779363795,61.3128603515625,17542.0,0.687290367251426,-10.15926730204656,3.500169870960766,3.421135174954176,4.1348951542653705,26470.0,,val
pilot_otcfm_s0,coarse_thr0.5,0.06215982437133789,0.254195070252633,0.05539280134230021,82.1871939453125,17542.0,0.7719536696031201,-7.2827401675216805,3.3756731083412066,3.297592994458062,3.604243490990757,26470.0,,val
pilot_otcfm_s0,seeded12_zero,0.05660604616800944,0.2736022706461938,0.048959438613393136,72.641909765625,17542.0,0.9280871465851079,-2.381733320686567,3.384742143992059,3.2680153051423,3.6671699607788617,26470.0,0.9995439516588759,val
pilot_otcfm_s0,seeded12_zero_thr0.5,0.03737033774058024,0.25422693600951823,0.02972864848772203,44.10887587890625,17542.0,0.7717769194043118,-7.284932271660346,3.3773737639809855,3.29861948453028,3.6030288107463453,26470.0,0.9995439516588759,val
pilot_otcfm_s0,seeded12_zero_thr0.7,0.034283924865722654,0.2575755679506853,0.02641547449172219,39.19306611328125,17542.0,0.7109387403108252,-9.195366513374363,3.4291121831727565,3.3251233592220726,3.6397147040838145,26470.0,0.9995439516588759,val
empty image,-,0.032462771542867024,0.4894062875658793,0.016361016174251425,24.275115380859376,,,,,,,,,jewel
uvcgan-s published,-,0.028149138259887695,0.1840442412306534,0.02265571336732814,33.614663671875,16720.0,0.9469121988658432,-1.1822073776470987,3.9382324788948044,3.4772216876053297,3.991919539628322,,,jewel
regress_l1,-,0.019096839872996013,0.17663895474539837,0.013545377794582234,20.0975052734375,16720.0,0.8676936768505473,-3.1437721746389946,4.113402988221806,3.5649673244173745,4.310880154220522,,,jewel
pilot_otcfm_s0,coarse,0.14923817087809244,0.24579651875921066,0.14583565085211508,216.3788125,16720.0,0.9775508575664218,-0.845881350645038,3.3453520425464833,3.2590374052303646,3.549387319460893,26470.0,,jewel
pilot_otcfm_s0,converged,0.0466130552927653,0.26048997432953425,0.03907646895678748,57.9784154296875,16720.0,0.688028604360131,-8.008704997021615,3.514794615717961,3.391779467651277,3.662975253025479,26470.0,,jewel
pilot_otcfm_s0,coarse_thr0.5,0.05700997200012207,0.21449259158722744,0.05146060634817216,76.35296875,16720.0,0.7701604708530309,-5.687470754795668,3.2900249219718227,3.2095822517389365,3.478764509784455,26470.0,,jewel
pilot_otcfm_s0,seeded12_zero,0.04773774388631185,0.24484177349532069,0.040792200410513804,60.52407509765625,16720.0,0.9592755962319433,-1.0765298900706917,3.778588291053716,3.3652151488126694,3.955181235514971,26470.0,0.9755980861244019,jewel
pilot_otcfm_s0,seeded12_zero_thr0.5,0.02928189563751221,0.2160746587369987,0.02269970043633578,33.67992802734375,16720.0,0.7608505785415013,-5.805622297496887,3.44248934995397,3.3128733454676715,3.617922389256629,26470.0,0.9755980861244019,jewel
pilot_otcfm_s0,seeded12_zero_thr0.7,0.025798656018575034,0.21524723858660724,0.019122875116805473,28.37293203125,16720.0,0.687340781303383,-7.566331438812913,3.3642561164732347,3.3043729896630243,3.5426319361001375,26470.0,0.9755980861244019,jewel
ext_otcfm_s1,coarse,0.14997655868530274,0.24496906825651524,0.1466292158650419,217.55623828125,16720.0,0.9772478098775985,-0.8296046492870915,3.3493577608455527,3.264330686508416,3.546140267537746,17860.0,,jewel
ext_otcfm_s1,converged,0.05029498863220215,0.2562687360569921,0.043036894293122706,63.854565234375,16720.0,0.7045747331071335,-7.586932746217582,3.4657955868171446,3.3586666794332247,3.623366080395946,17860.0,,jewel
ext_otcfm_s1,coarse_thr0.5,0.05695467643737793,0.2133251056237765,0.05144450183924918,76.32907421875,16720.0,0.7733832391531514,-5.588530923133832,3.299529027544593,3.1948625997228035,3.480201847467822,17860.0,,jewel
ext_otcfm_s1,seeded12_zero,0.04756763254801432,0.24397200907910818,0.0406467436803011,60.30825849609375,16720.0,0.9585686636823874,-1.0658762308113883,3.795852390795095,3.3683433985162257,3.953101150111078,17860.0,0.9750598086124402,jewel
ext_otcfm_s1,seeded12_zero_thr0.5,0.02918985996246338,0.2149590019008873,0.022643734931266115,33.596891064453125,16720.0,0.7637536615488241,-5.7109712510017685,3.460977015386368,3.2966624727242078,3.6220752663144697,17860.0,0.9750598086124402,jewel
ext_otcfm_s1,seeded12_zero_thr0.7,0.025727372805277506,0.2141210504349274,0.019088764400511292,28.32232138671875,16720.0,0.6898998456607048,-7.4793877195798615,3.377787012031743,3.319026895414201,3.5436449517548763,17860.0,0.9750598086124402,jewel
ext_otcfm_s2,coarse,0.1522419682820638,0.24767095050804488,0.14887924639015523,220.894646484375,16720.0,0.9834844015065808,-0.719157356423054,3.3518929174622834,3.2779889428412323,3.562082632951546,17820.0,,jewel
ext_otcfm_s2,converged,0.04984176712036133,0.2567366275630868,0.042551214278709074,63.13395361328125,16720.0,0.7072445990165577,-7.512861867070769,3.4428569585079023,3.336089730174388,3.6023153138502177,17820.0,,jewel
ext_otcfm_s2,coarse_thr0.5,0.05816885414123535,0.21513201843889954,0.052637792637330025,78.0995798828125,16720.0,0.7752278720082535,-5.5785339606435675,3.2992939965297543,3.2058818151192634,3.493876451023638,17820.0,,jewel
ext_otcfm_s2,seeded12_zero,0.049350600051879884,0.24661702512171105,0.04239933404251374,62.90860634765625,16720.0,0.9668050801797181,-0.9295239246062685,3.7510063688405864,3.3729645479511916,3.9471297900588103,17820.0,0.9779306220095694,jewel
