truth_set,model,reference,observable,n,mean_model,mean_truth,rel_shift,w1_sigma,corr,rel_res
val,uvcgan-s published,truth,et,8827,30.77960777282715,32.784420013427734,-0.06115137040615082,0.31160772642422446,0.8715415800549272,0.5300143957138062
val,uvcgan-s published,truth,mass,8827,4.591062068939209,5.486537456512451,-0.16321320831775665,0.6648123599465829,0.6610084682419667,0.8282067775726318
val,uvcgan-s published,truth,girth,8827,0.1824326515197754,0.18667517602443695,-0.022726774215698242,0.0980360935214487,0.9669411095509176,0.26787611842155457
val,uvcgan-s published,truth,ptd,8827,0.41740667819976807,0.39776864647865295,0.04937048628926277,0.1892230366014274,0.9397048281266969,0.3620055913925171
val,uvcgan-s published,truth,core,8827,0.44329434633255005,0.4299358129501343,0.031070994213223457,0.06438752874369262,0.9762968091596961,0.2284483164548874
val,uvcgan-s published,truth,zlead,8827,0.32239970564842224,0.305081844329834,0.0567646399140358,0.12959388128182983,0.9605497614126282,0.29283785820007324
val,uvcgan-s published,truth,n1,8827,6.956157207489014,7.468789100646973,-0.06863654404878616,0.23190607396641416,0.6529765242355188,0.8281478881835938
val,uvcgan-s published,truth,zg,8718,0.24270243952564108,0.23284363580459932,0.04234087690210777,0.08777247295346031,0.40897800498910813,1.0948285488400582
val,uvcgan-s published,truth,rg,8718,0.23563799887008982,0.25885272814828314,-0.08968315475854216,0.2334647297938045,0.5969289188957403,0.8624942002976935
val,regress_l1,truth,et,8827,28.251710891723633,32.784420013427734,-0.13825802505016327,0.7042454015745777,0.8568471799036788,0.5406237244606018
val,regress_l1,truth,mass,8827,3.390202283859253,5.486537456512451,-0.3820871114730835,1.5563465011972808,0.5444590620937423,0.8719596862792969
val,regress_l1,truth,girth,8827,0.17263635993003845,0.18667517602443695,-0.0752045139670372,0.3202162636034177,0.9592364008694486,0.3402983844280243
val,regress_l1,truth,ptd,8827,0.44903647899627686,0.39776864647865295,0.1288885772228241,0.4942056183980751,0.9273573747432733,0.40341129899024963
val,regress_l1,truth,core,8827,0.4793967604637146,0.4299358129501343,0.11504263430833817,0.22648291590265124,0.973263079728706,0.29206934571266174
val,regress_l1,truth,zlead,8827,0.35083937644958496,0.305081844329834,0.1499844491481781,0.3425168258845006,0.94919728979678,0.34522461891174316
val,regress_l1,truth,n1,8827,6.0727314949035645,7.468789100646973,-0.18691886961460114,0.6312742543600888,0.6063478567413733,0.8312474489212036
val,regress_l1,truth,zg,8711,0.2614022821663866,0.23280415815331237,0.12284198117389743,0.25452147414362236,0.3479786178309728,1.1614784826535376
val,regress_l1,truth,rg,8711,0.19794658195468431,0.2586021076231609,-0.2345515519032999,0.6107293405209528,0.49042899270826973,0.909521457328648
val,OT-CFM coarse,truth,et,8827,30.760543823242188,32.784420013427734,-0.06173286586999893,0.3144516124798553,0.8700211888520999,0.5209428071975708
val,OT-CFM coarse,truth,mass,8827,5.665154457092285,5.486537456512451,0.03255550563335419,0.1895159278496645,0.6207115926876371,0.8120485544204712
val,OT-CFM coarse,truth,girth,8827,0.19492952525615692,0.18667517602443695,0.04421771317720413,0.18606011619658658,0.9678671808184501,0.26088711619377136
val,OT-CFM coarse,truth,ptd,8827,0.36059486865997314,0.39776864647865295,-0.09345577657222748,0.3581856879056788,0.9532079308704531,0.3031734824180603
val,OT-CFM coarse,truth,core,8827,0.40135619044303894,0.4299358129501343,-0.06647416204214096,0.13286610517657502,0.977538337658823,0.22506721317768097
val,OT-CFM coarse,truth,zlead,8827,0.2791840732097626,0.305081844329834,-0.08488794416189194,0.19379859352082476,0.9684837209119046,0.2528829872608185
val,OT-CFM coarse,truth,n1,8827,6.379290580749512,7.468789100646973,-0.1458735167980194,0.4926531286359631,0.6139468445046202,0.8468446135520935
val,OT-CFM coarse,truth,zg,8747,0.2102378323857772,0.23250903763294425,-0.09578640673024506,0.19822651711794714,0.39007112909752983,1.0703393997199582
val,OT-CFM coarse,truth,rg,8747,0.2805273596210173,0.25885231851893326,0.08373516306943447,0.24894690205124564,0.5670317438279636,0.8890126704204062
val,OT-CFM converged,truth,et,8827,22.58696937561035,32.784420013427734,-0.31104564666748047,1.58437454075438,0.8393303771313019,0.5466004014015198
val,OT-CFM converged,truth,mass,8827,3.5426199436187744,5.486537456512451,-0.35430678725242615,1.4431895206068837,0.5583302631710485,0.8309094309806824
val,OT-CFM converged,truth,girth,8827,0.18450650572776794,0.18667517602443695,-0.011617346666753292,0.04996907021511175,0.9694868794229873,0.24563761055469513
val,OT-CFM converged,truth,ptd,8827,0.3910997211933136,0.39776864647865295,-0.016765840351581573,0.07042595154109482,0.9527112462703784,0.3182466924190521
val,OT-CFM converged,truth,core,8827,0.43702977895736694,0.4299358129501343,0.01650005765259266,0.041685419482168355,0.9777695535107901,0.21052858233451843
val,OT-CFM converged,truth,zlead,8827,0.3117137551307678,0.305081844329834,0.021738136187195778,0.06130668353702848,0.9660281052018485,0.2635694444179535
val,OT-CFM converged,truth,n1,8827,4.447264194488525,7.468789100646973,-0.40455353260040283,1.3662838300769231,0.4337290679544109,0.9485950469970703
val,OT-CFM converged,truth,zg,8713,0.23092958601460425,0.23289961535065115,-0.008458705838053197,0.024196155673163154,0.3742905405505436,1.127082699909129
val,OT-CFM converged,truth,rg,8713,0.22205461095920995,0.2589480309859321,-0.1424742249873546,0.37125298972088544,0.5827429142063195,0.8495464157177518
val,OT-CFM coarse_thr0.5,truth,et,8827,25.456302642822266,32.784420013427734,-0.22352439165115356,1.1385670521118656,0.8714308721203395,0.5247877240180969
val,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",et,8827,25.456302642822266,29.778549194335938,-0.14514631032943726,0.6527505595827916,0.8833381226091415,0.4906550943851471
val,OT-CFM coarse_thr0.5,truth,mass,8827,3.7799391746520996,5.486537456512451,-0.31105196475982666,1.2670005359119787,0.6400647110630162,0.7981508374214172
val,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",mass,8827,3.7799391746520996,4.498167991638184,-0.15967141091823578,0.5189905960605298,0.6465617658562369,0.7854016423225403
val,OT-CFM coarse_thr0.5,truth,girth,8827,0.1806408315896988,0.18667517602443695,-0.032325372099876404,0.1443399567347726,0.9635092618810821,0.2964498698711395
val,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",girth,8827,0.1806408315896988,0.1804986596107483,0.0007876622257754207,0.010005730546991222,0.9644064760332283,0.2664630115032196
val,OT-CFM coarse_thr0.5,truth,ptd,8827,0.435831218957901,0.39776864647865295,0.09569022804498672,0.3667646248806953,0.9248745115121891,0.40192651748657227
val,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",ptd,8827,0.435831218957901,0.43760597705841064,-0.004055607598274946,0.021445609738558354,0.9306596403123353,0.37445271015167236
val,OT-CFM coarse_thr0.5,truth,core,8827,0.45430538058280945,0.4299358129501343,0.05668187513947487,0.1270052035583205,0.9736871758237834,0.2614867389202118
val,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",core,8827,0.45430538058280945,0.45432958006858826,-5.3264164307620376e-05,0.017424061913376695,0.9743551928666571,0.22636635601520538
val,OT-CFM coarse_thr0.5,truth,zlead,8827,0.3393547534942627,0.305081844329834,0.112340047955513,0.2564834021884376,0.9543220962592704,0.3217473328113556
val,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",zlead,8827,0.3393547534942627,0.3360802233219147,0.009743299335241318,0.02855809857654131,0.9569907426202453,0.29432713985443115
val,OT-CFM coarse_thr0.5,truth,n1,8827,6.379290580749512,7.468789100646973,-0.1458735167980194,0.4926531286359631,0.6139468445046202,0.8468446135520935
val,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",n1,8827,6.379290580749512,7.468789100646973,-0.1458735167980194,0.4926531286359631,0.6139468445046202,0.8468446135520935
val,OT-CFM coarse_thr0.5,truth,zg,8713,0.23729744097637057,0.23289354412006408,0.018909484472597226,0.04007468128330532,0.36928273178766413,1.1344850166706195
val,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",zg,8706,0.2373902153255147,0.24359326776242748,-0.025464794219857232,0.05438327566100885,0.44752061210938787,1.0511522001269031
val,OT-CFM coarse_thr0.5,truth,rg,8713,0.23439277696053815,0.2587393688795927,-0.09409697497710338,0.24483804790455502,0.5877844367309768,0.9107250015996475
val,OT-CFM coarse_thr0.5,"truth, towers > 0.5 GeV",rg,8706,0.23445228302158805,0.24289746090468423,-0.034768489763712114,0.08102750821267539,0.6238213679013132,0.8506580596561762
val,OT-CFM seeded10_zero,truth,et,8827,30.758899688720703,32.784420013427734,-0.061783015727996826,0.3147069434492136,0.8700020681488565,0.5212997198104858
val,OT-CFM seeded10_zero,truth,mass,8827,5.664577960968018,5.486537456512451,0.03245043009519577,0.1896165215442835,0.6203671361762665,0.812825620174408
val,OT-CFM seeded10_zero,truth,girth,8827,0.19489997625350952,0.18667517602443695,0.04405942186713219,0.18544920137136275,0.9652470862570541,0.2694581151008606
val,OT-CFM seeded10_zero,truth,ptd,8827,0.36060625314712524,0.39776864647865295,-0.0934271588921547,0.35807637266995684,0.9526377755536181,0.30485108494758606
val,OT-CFM seeded10_zero,truth,core,8827,0.401342511177063,0.4299358129501343,-0.06650597602128983,0.1327626591882051,0.9775018254894012,0.225171759724617
val,OT-CFM seeded10_zero,truth,zlead,8827,0.2792104184627533,0.305081844329834,-0.08480159193277359,0.1936014928664685,0.9682648710548696,0.2536264955997467
val,OT-CFM seeded10_zero,truth,n1,8827,6.379064083099365,7.468789100646973,-0.1459038406610489,0.49275558327434016,0.6139660716825144,0.8469218015670776
val,OT-CFM seeded10_zero,truth,zg,8746,0.21022722344613856,0.23250912145676508,-0.09583236077372485,0.1983103521433787,0.38972188858234574,1.0705346227293921
val,OT-CFM seeded10_zero,truth,rg,8746,0.2804754569032125,0.25882802910675684,0.08363633518040245,0.24883935170541785,0.5663184404041269,0.8896473247010088
val,OT-CFM seeded8_zero_thr0.5,truth,et,8827,25.455848693847656,32.784420013427734,-0.22353823482990265,1.1386373802659284,0.8714579761356834,0.524817943572998
val,OT-CFM seeded8_zero_thr0.5,"truth, towers > 0.5 GeV",et,8827,25.455848693847656,29.778549194335938,-0.14516155421733856,0.6528189193218497,0.8833523530655597,0.4906938970088959
val,OT-CFM seeded8_zero_thr0.5,truth,mass,8827,3.77982234954834,5.486537456512451,-0.31107327342033386,1.2670875028833888,0.6400807753381216,0.7981922626495361
val,OT-CFM seeded8_zero_thr0.5,"truth, towers > 0.5 GeV",mass,8827,3.77982234954834,4.498167991638184,-0.15969738364219666,0.5190738206094377,0.6465429819696293,0.7854716777801514
val,OT-CFM seeded8_zero_thr0.5,truth,girth,8827,0.18060404062271118,0.18667517602443695,-0.03252245858311653,0.14473189636672265,0.9618260658615564,0.302709698677063
val,OT-CFM seeded8_zero_thr0.5,"truth, towers > 0.5 GeV",girth,8827,0.18060404062271118,0.1804986596107483,0.0005838326760567725,0.009798562660833616,0.9625810481229871,0.2732450067996979
val,OT-CFM seeded8_zero_thr0.5,truth,ptd,8827,0.43576565384864807,0.39776864647865295,0.09552539885044098,0.3665958557756127,0.9251123248143315,0.4015287458896637
val,OT-CFM seeded8_zero_thr0.5,"truth, towers > 0.5 GeV",ptd,8827,0.43576565384864807,0.43760597705841064,-0.004205434583127499,0.02189385003667128,0.9305158864695608,0.37498345971107483
val,OT-CFM seeded8_zero_thr0.5,truth,core,8827,0.45430538058280945,0.4299358129501343,0.05668187513947487,0.1270052035583205,0.9736871758237834,0.2614867389202118
val,OT-CFM seeded8_zero_thr0.5,"truth, towers > 0.5 GeV",core,8827,0.45430538058280945,0.45432958006858826,-5.3264164307620376e-05,0.017424061913376695,0.9743551928666571,0.22636635601520538
val,OT-CFM seeded8_zero_thr0.5,truth,zlead,8827,0.3393150269985199,0.305081844329834,0.11220983415842056,0.2563225887859047,0.9545291116149035,0.32115477323532104
val,OT-CFM seeded8_zero_thr0.5,"truth, towers > 0.5 GeV",zlead,8827,0.3393150269985199,0.3360802233219147,0.009625094011425972,0.028604604330929116,0.9570979393095019,0.2940024733543396
val,OT-CFM seeded8_zero_thr0.5,truth,n1,8827,6.379064083099365,7.468789100646973,-0.1459038406610489,0.49275558327434016,0.6139660716825144,0.8469218015670776
val,OT-CFM seeded8_zero_thr0.5,"truth, towers > 0.5 GeV",n1,8827,6.379064083099365,7.468789100646973,-0.1459038406610489,0.49275558327434016,0.6139660716825144,0.8469218015670776
val,OT-CFM seeded8_zero_thr0.5,truth,zg,8712,0.2372533459039585,0.23289367240629275,0.018719587580980378,0.0396789883167156,0.36916693414547247,1.1343624582464793
val,OT-CFM seeded8_zero_thr0.5,"truth, towers > 0.5 GeV",zg,8705,0.23734609545228041,0.24360170830516928,-0.025679675632866317,0.054834806452652714,0.4477183081367268,1.0507729474478789
val,OT-CFM seeded8_zero_thr0.5,truth,rg,8712,0.23438778716676328,0.2587149717091915,-0.09403083393941801,0.24469304841490433,0.5880739001590235,0.9102640156567587
val,OT-CFM seeded8_zero_thr0.5,"truth, towers > 0.5 GeV",rg,8705,0.23444729605119113,0.2428635702678781,-0.034654329619727815,0.08079713607616036,0.6243250511266643,0.8500486042832378
val,OT-CFM seeded10_zero_thr0.7,truth,et,8827,23.544841766357422,32.784420013427734,-0.2818283140659332,1.4355504201440679,0.8697134954097271,0.5319443941116333
val,OT-CFM seeded10_zero_thr0.7,"truth, towers > 0.7 GeV",et,8827,23.544841766357422,28.537643432617188,-0.17495493590831757,0.7402141071729804,0.8908812410068122,0.47201845049858093
val,OT-CFM seeded10_zero_thr0.7,truth,mass,8827,3.1480231285095215,5.486537456512451,-0.42622771859169006,1.7361435842125579,0.6373631778800366,0.7946802377700806
val,OT-CFM seeded10_zero_thr0.7,"truth, towers > 0.7 GeV",mass,8827,3.1480231285095215,4.109745979309082,-0.23401029407978058,0.6909755877190125,0.6586498517756034,0.7665191888809204
val,OT-CFM seeded10_zero_thr0.7,truth,girth,8827,0.17557428777217865,0.18667517602443695,-0.05946633219718933,0.2627395523971881,0.9583671877623297,0.35305845737457275
val,OT-CFM seeded10_zero_thr0.7,"truth, towers > 0.7 GeV",girth,8827,0.17557428777217865,0.17808498442173004,-0.014098306186497211,0.05386900176183005,0.9622914091202663,0.2801796793937683
val,OT-CFM seeded10_zero_thr0.7,truth,ptd,8827,0.4701005518436432,0.39776864647865295,0.18184415996074677,0.6974132122818751,0.8979723972709653,0.4820092022418976
val,OT-CFM seeded10_zero_thr0.7,"truth, towers > 0.7 GeV",ptd,8827,0.4701005518436432,0.4561048746109009,0.030685218051075935,0.1276175943697068,0.9176687067862146,0.4131135046482086
val,OT-CFM seeded10_zero_thr0.7,truth,core,8827,0.4737491011619568,0.4299358129501343,0.10190658271312714,0.22840642476972844,0.9703481229964442,0.3246292769908905
val,OT-CFM seeded10_zero_thr0.7,"truth, towers > 0.7 GeV",core,8827,0.4737491011619568,0.4638369381427765,0.02136993035674095,0.04795269204086645,0.9732840561328739,0.23773334920406342
val,OT-CFM seeded10_zero_thr0.7,truth,zlead,8827,0.3679032325744629,0.305081844329834,0.20591650903224945,0.47024227462856105,0.9406957885451419,0.3880573809146881
val,OT-CFM seeded10_zero_thr0.7,"truth, towers > 0.7 GeV",zlead,8827,0.3679032325744629,0.3510379195213318,0.04804413393139839,0.11543308877413072,0.9498822167362558,0.32286903262138367
val,OT-CFM seeded10_zero_thr0.7,truth,n1,8827,6.379064083099365,7.468789100646973,-0.1459038406610489,0.49275558327434016,0.6139660716825144,0.8469218015670776
val,OT-CFM seeded10_zero_thr0.7,"truth, towers > 0.7 GeV",n1,8827,6.379064083099365,7.468789100646973,-0.1459038406610489,0.49275558327434016,0.6139660716825144,0.8469218015670776
val,OT-CFM seeded10_zero_thr0.7,truth,zg,8693,0.24634625521858217,0.23309170255423792,0.056864111931483524,0.1179864369582703,0.3380221204374189,1.1642404344973014
val,OT-CFM seeded10_zero_thr0.7,"truth, towers > 0.7 GeV",zg,8683,0.24649530556753788,0.2453009882937717,0.004868782967706049,0.011360204437643477,0.45057540059180934,1.0491516734832183
val,OT-CFM seeded10_zero_thr0.7,truth,rg,8693,0.21968592303474951,0.25859872021769287,-0.15047559844915662,0.3928567350523222,0.5694801243118639,0.9345012819574035
val,OT-CFM seeded10_zero_thr0.7,"truth, towers > 0.7 GeV",rg,8683,0.21971453624696646,0.23776108629669016,-0.07590203397373574,0.17051136883711296,0.6357169792534877,0.8336341519704922
val,"cond. CFM, 1 sample",truth,et,8827,30.660310745239258,32.784420013427734,-0.06479020416736603,0.3302780282012858,0.7850620399003939,0.6928039193153381
