model,observable,jewel,val,delta,delta_over_truth
"OT-CFM 1ch log(E+1), seeds 8 GeV + 0.5 GeV",core,0.4603258967399597,0.44708919525146484,0.013236701488494873,0.6999988967708483
"OT-CFM 1ch log(E+1), seeds 8 GeV + 0.5 GeV",et,18.506237030029297,18.936241149902344,-0.4300041198730469,0.2633062839577114
"OT-CFM 1ch log(E+1), seeds 8 GeV + 0.5 GeV",girth,0.17959143221378326,0.1828782707452774,-0.0032868385314941406,0.6481353063551204
"OT-CFM 1ch log(E+1), seeds 8 GeV + 0.5 GeV",mass,2.6537516117095947,2.941230058670044,-0.2874784469604492,0.41776306899798976
"OT-CFM 1ch log(E+1), seeds 8 GeV + 0.5 GeV",n1,4.9748969078063965,5.595523834228516,-0.6206269264221191,0.6171459107502628
"OT-CFM 1ch log(E+1), seeds 8 GeV + 0.5 GeV",ptd,0.4616803228855133,0.4192509949207306,0.042429327964782715,0.8607944239410663
"OT-CFM 1ch log(E+1), seeds 8 GeV + 0.5 GeV",rg,0.23059232904134877,0.24999522368854055,-0.019402894647191776,0.7248837528176919
"OT-CFM 1ch log(E+1), seeds 8 GeV + 0.5 GeV",zg,0.23060922890706698,0.24255064906842394,-0.011941420161356964,1.2522889689909762
"OT-CFM 1ch log(E+1), seeds 8 GeV + 0.5 GeV",zlead,0.3660892844200134,0.3150940537452698,0.05099523067474365,0.9022318045996466
"OT-CFM 1ch, 4 steps",core,0.3874560594558716,0.37752264738082886,0.009933412075042725,0.5253104408030878
"OT-CFM 1ch, 4 steps",et,25.104310989379883,25.661457061767578,-0.5571460723876953,0.34115966606401216
"OT-CFM 1ch, 4 steps",girth,0.1992729902267456,0.20174473524093628,-0.002471745014190674,0.48740611887495444
"OT-CFM 1ch, 4 steps",mass,4.85219144821167,5.124924182891846,-0.2727327346801758,0.39633463120760515
"OT-CFM 1ch, 4 steps",n1,5.3533525466918945,6.00713586807251,-0.6537833213806152,0.6501163358038787
"OT-CFM 1ch, 4 steps",ptd,0.35328418016433716,0.32212623953819275,0.03115794062614441,0.6321236474622838
"OT-CFM 1ch, 4 steps",rg,0.3024962468968118,0.30910428891748076,-0.006608042020668947,0.246873592101516
"OT-CFM 1ch, 4 steps",zg,0.1976778282306303,0.21135737865679544,-0.013679550426165143,1.4345655598718807
"OT-CFM 1ch, 4 steps",zlead,0.27556276321411133,0.23728448152542114,0.038278281688690186,0.6772375123712324
"OT-CFM 1ch, seeds 10 GeV + 0.7 GeV",core,0.4729000926017761,0.45959845185279846,0.013301640748977661,0.7034330915160102
"OT-CFM 1ch, seeds 10 GeV + 0.7 GeV",et,17.929168701171875,18.26804542541504,-0.33887672424316406,0.20750585135457106
"OT-CFM 1ch, seeds 10 GeV + 0.7 GeV",girth,0.17645129561424255,0.17991071939468384,-0.003459423780441284,0.6821675814811767
"OT-CFM 1ch, seeds 10 GeV + 0.7 GeV",mass,2.413060426712036,2.6960904598236084,-0.28303003311157227,0.4112986434338164
"OT-CFM 1ch, seeds 10 GeV + 0.7 GeV",n1,5.3533525466918945,6.00713586807251,-0.6537833213806152,0.6501163358038787
"OT-CFM 1ch, seeds 10 GeV + 0.7 GeV",ptd,0.488863468170166,0.4457147419452667,0.04314872622489929,0.8753893760792489
"OT-CFM 1ch, seeds 10 GeV + 0.7 GeV",rg,0.22429960024091702,0.24572677098839624,-0.021427170747479213,0.8005098324824544
"OT-CFM 1ch, seeds 10 GeV + 0.7 GeV",zg,0.23771344775783695,0.24672177525709035,-0.009008327499253399,0.944697448372102
